Depth (km), Temperature (K)
7.452420701168614414e+01,1.191760807398432462e+03,1.170360436784910007e+03
7.425709515859766441e+01,1.189479320335256489e+03,1.167953250008879195e+03
7.398998330550917046e+01,1.187197357613799568e+03,1.165545587574567662e+03
7.372287145242070494e+01,1.184914919234063063e+03,1.163137449481976091e+03
7.345575959933221100e+01,1.182632005196045384e+03,1.160728835731103800e+03
7.318864774624373126e+01,1.180348615499747666e+03,1.158319746321951243e+03
7.292153589315526574e+01,1.178064750145169683e+03,1.155910181254518648e+03
7.265442404006677179e+01,1.175780409132310979e+03,1.153500140528805332e+03
7.238731218697829206e+01,1.173495592461172009e+03,1.151089624144811296e+03
7.212020033388981233e+01,1.171210300131752774e+03,1.148678632102537449e+03
7.185308848080133259e+01,1.168924532144053046e+03,1.146267164401982882e+03
7.158597662771285286e+01,1.166638288498072825e+03,1.143855221043147822e+03
7.131886477462435892e+01,1.164351569193812111e+03,1.141442802026032496e+03
7.105175292153589339e+01,1.162064374231271131e+03,1.139029907350636677e+03
7.078464106844741366e+01,1.159776703610449886e+03,1.136616537016960820e+03
7.051752921535891971e+01,1.157488557331347920e+03,1.134202691025004015e+03
7.025041736227043998e+01,1.155199935393965688e+03,1.131788369374766944e+03
6.998330550918197446e+01,1.152910837798303191e+03,1.129373572066249835e+03
6.971619365609348051e+01,1.150621264544360201e+03,1.126958299099452006e+03
6.944908180300500078e+01,1.148331215632136718e+03,1.124542550474373911e+03
6.918196994991653526e+01,1.146040691061632970e+03,1.122126326191015323e+03
6.891485809682804131e+01,1.143749690832848728e+03,1.119709626249376242e+03
6.864774624373956158e+01,1.141458214945784221e+03,1.117292450649456896e+03
6.838063439065106763e+01,1.139166263400438993e+03,1.114874799391257056e+03
6.811352253756260211e+01,1.136873836196813727e+03,1.112456672474776951e+03
6.784641068447412238e+01,1.134580933334907968e+03,1.110038069900016581e+03
6.757929883138562843e+01,1.132287554814721716e+03,1.107618991666975489e+03
6.731218697829716291e+01,1.129993700636255198e+03,1.105199437775654133e+03
6.704507512520868318e+01,1.127699370799508188e+03,1.102779408226052510e+03
6.677796327212018923e+01,1.125404565304480684e+03,1.100358903018170167e+03
6.651085141903172371e+01,1.123109284151172915e+03,1.097937922152007559e+03
6.624373956594322976e+01,1.120813527339584653e+03,1.095516465627564685e+03
6.597662771285475003e+01,1.118517294869715897e+03,1.093094533444841090e+03
